"name","location","games","wins","loses","playoff","confchampions","nbachampions","conference"
"Atlanta Hawks","Atlanta, Georgia",5800,2864,2936,48,0,1,"Western"
"Boston Celtics","Boston, Massachusetts",5977,3534,2443,59,10,17,"Western"
"Brooklyn Nets","Brooklyn, New York",4476,1967,2509,30,2,2,"Western"
"Charlotte Hornets","Charlotte, North Carolina",2576,1133,1443,10,0,0,"Western"
"Chicago Bulls","Chicago, Illinois",4542,2315,2227,36,6,6,"Western"
"Cleveland Cavaliers","Cleveland, Ohio",4216,1950,2266,22,5,1,"Western"
"Dallas Mavericks","Dallas, Texas",3405,1722,1683,24,2,1,"Eastern"
"Denver Nuggets","Denver, Colorado",4475,2273,2202,37,0,0,"Eastern"
"Detroit Pistons","Detroit, Michigan",5863,2803,3060,42,5,3,"Western"
"Golden State Warriors","San Francisco, California",5966,2893,3073,36,7,7,"Eastern"
"Houston Rockets","Houston, Texas",4468,2314,2154,34,4,2,"Eastern"
"Indiana Pacers","Indianapolis, Indiana",4475,2289,2186,36,1,3,"Western"
"Los Angeles Clippers","Los Angeles, California",4224,1763,2461,16,0,0,"Eastern"
"Los Angeles Lakers","Los Angeles, California",5866,3471,2395,62,19,17,"Eastern"
"Memphis Grizzlies","Memphis, Tennessee",2173,937,1236,12,0,0,"Eastern"
"Miami Heat","Miami, Florida",2748,1443,1305,23,6,3,"Western"
"Milwaukee Bucks","Milwaukee, Wisconsin",4387,2301,2086,34,3,2,"Western"
"Minnesota Timberwolves","Minneapolis, Minnesota",2656,1062,1594,10,0,0,"Eastern"
"New Orleans Pelicans","New Orleans, Louisiana",1630,758,872,8,0,0,"Eastern"
"New York Knicks","New York, New York",5968,2891,3077,43,4,2,"Western"
"Oklahoma City Thunder","Oklahoma City, Oklahoma",4468,2384,2084,32,4,1,"Eastern"
"Orlando Magic","Orlando, Florida",2667,1242,1425,16,2,0,"Western"
"Philadelphia 76ers","Philadelphia, Pennsylvania",5803,3014,2789,52,5,3,"Western"
"Phoenix Suns","Phoenix, Arizona",4388,2351,2037,31,3,0,"Eastern"
"Portland Trail Blazers","Portland, Oregon",4224,2252,1972,37,3,1,"Eastern"
"Sacramento Kings","Sacramento, California",5866,2668,3198,29,0,1,"Eastern"
"San Antonio Spurs","San Antonio, Texas",4473,2647,1826,47,6,5,"Eastern"
"Toronto Raptors","Toronto, Canada",2173,1043,1130,13,1,1,"Western"
"Utah Jazz","Salt Lake City, Utah",3897,2124,1773,31,2,0,"Eastern"
"Washington Wizards","Washington, District of Columbia",4950,2233,2717,30,4,1,"Western"
"TOT",0,0,0,0,0,0,0,0
"CIN",0,0,0,0,0,0,0,0
"SEA",0,0,0,0,0,0,0,0
"BUF",0,0,0,0,0,0,0,0
"VAN",0,0,0,0,0,0,0,0
"SYR",0,0,0,0,0,0,0,0
"PIT",0,0,0,0,0,0,0,0
"STB",0,0,0,0,0,0,0,0
"BLB",0,0,0,0,0,0,0,0
"WSB",0,0,0,0,0,0,0,0
"SDR",0,0,0,0,0,0,0,0
"SSL",0,0,0,0,0,0,0,0
"SDA",0,0,0,0,0,0,0,0
"NJN",0,0,0,0,0,0,0,0
"NOJ",0,0,0,0,0,0,0,0
"KCO",0,0,0,0,0,0,0,0
"CHA",0,0,0,0,0,0,0,0
"INA",0,0,0,0,0,0,0,0
"KEN",0,0,0,0,0,0,0,0
"NOH",0,0,0,0,0,0,0,0
"ANA",0,0,0,0,0,0,0,0
"SFW",0,0,0,0,0,0,0,0
"KCK",0,0,0,0,0,0,0,0
"FLO",0,0,0,0,0,0,0,0
"NOK",0,0,0,0,0,0,0,0
"OAK",0,0,0,0,0,0,0,0
"MMF",0,0,0,0,0,0,0,0
"LAS",0,0,0,0,0,0,0,0
"DNR",0,0,0,0,0,0,0,0
"NJA",0,0,0,0,0,0,0,0
"NYA",0,0,0,0,0,0,0,0
"MNP",0,0,0,0,0,0,0,0
"SDC",0,0,0,0,0,0,0,0
"STL",0,0,0,0,0,0,0,0
"NYN",0,0,0,0,0,0,0,0
"MMT",0,0,0,0,0,0,0,0
"PHW",0,0,0,0,0,0,0,0
"FTW",0,0,0,0,0,0,0,0
"DTF",0,0,0,0,0,0,0,0
"BAL",0,0,0,0,0,0,0,0
"SAA",0,0,0,0,0,0,0,0
"Charlotte Bobcats",0,0,0,0,0,0,0,0
"New Orleans Hornets",0,0,0,0,0,0,0,0
"New Jersey Nets",0,0,0,0,0,0,0,0
"Seattle SuperSonics",0,0,0,0,0,0,0,0
"New Orleans/Oklahoma City Hornets",0,0,0,0,0,0,0,0
"Vancouver Grizzlies",0,0,0,0,0,0,0,0
"Washington Bullets",0,0,0,0,0,0,0,0
"Kansas City Kings",0,0,0,0,0,0,0,0
"San Diego Clippers",0,0,0,0,0,0,0,0
"New Orleans Jazz",0,0,0,0,0,0,0,0
"Buffalo Braves",0,0,0,0,0,0,0,0
"New York Nets",0,0,0,0,0,0,0,0
"Kansas City-Omaha Kings",0,0,0,0,0,0,0,0
"Capital Bullets",0,0,0,0,0,0,0,0
"Baltimore Bullets",0,0,0,0,0,0,0,0
"Cincinnati Royals",0,0,0,0,0,0,0,0
"San Francisco Warriors",0,0,0,0,0,0,0,0
"San Diego Rockets",0,0,0,0,0,0,0,0
"St. Louis Hawks",0,0,0,0,0,0,0,0
"Syracuse Nationals",0,0,0,0,0,0,0,0
"Chicago Zephyrs",0,0,0,0,0,0,0,0
"Philadelphia Warriors",0,0,0,0,0,0,0,0
"Chicago Packers",0,0,0,0,0,0,0,0
"Minneapolis Lakers",0,0,0,0,0,0,0,0
"Fort Wayne Pistons",0,0,0,0,0,0,0,0
"Rochester Royals",0,0,0,0,0,0,0,0
"Milwaukee Hawks",0,0,0,0,0,0,0,0
"Baltimore Bullets (1)",0,0,0,0,0,0,0,0
"Indianapolis Olympians",0,0,0,0,0,0,0,0
"Tri-Cities Blackhawks",0,0,0,0,0,0,0,0
"Washington Capitols",0,0,0,0,0,0,0,0
"Chicago Stags",0,0,0,0,0,0,0,0
"Anderson Packers",0,0,0,0,0,0,0,0
"St. Louis Bombers",0,0,0,0,0,0,0,0
"Sheboygan Red Skins",0,0,0,0,0,0,0,0
"Waterloo Hawks",0,0,0,0,0,0,0,0
